Date,Sample.ID,Chamber.ID,SDR,Conical,Temperature,ramp-treatment,stress-treatment,timepoint,Type,Salinity,Plate,Run,Volume,Org.Number
,1,A1,641,,,,,,,36,1,1,0.00008,
,7,B1,641,,,,,,,36,1,1,0.00008,
,13,C1,641,,,,,,,36,1,1,0.00008,
,19,D1,641,,,,,,,36,1,1,0.00008,
,2,A2,641,,,,,,,36,1,1,0.00008,
,8,B2,641,,,,,,,36,1,1,0.00008,
,14,C2,641,,,,,,,36,1,1,0.00008,
,20,D2,641,,,,,,,36,1,1,0.00008,
,3,A3,641,,,,,,,36,1,1,0.00008,
,9,B3,641,,,,,,,36,1,1,0.00008,
,15,C3,641,,,,,,,36,1,1,0.00008,
,21,D3,641,,,,,,,36,1,1,0.00008,
,4,A4,641,,,,,,,36,1,1,0.00008,
,10,B4,641,,,,,,,36,1,1,0.00008,
,16,C4,641,,,,,,,36,1,1,0.00008,
,22,D4,641,,,,,,,36,1,1,0.00008,
,5,A5,641,,,,,,,36,1,1,0.00008,
,11,B5,641,,,,,,,36,1,1,0.00008,
,17,C5,641,,,,,,,36,1,1,0.00008,
,23,D5,641,,,,,,,36,1,1,0.00008,
,6,A6,641,,,,,,,36,1,1,0.00008,
,12,B6,641,,,,,,,36,1,1,0.00008,
,18,C6,641,,,,,,,36,1,1,0.00008,
,24,D6,641,,,,,,,36,1,1,0.00008,
,1,A1,710,,,,,,,36,2,1,0.00008,
,7,B1,710,,,,,,,36,2,1,0.00008,
,13,C1,710,,,,,,,36,2,1,0.00008,
,19,D1,710,,,,,,,36,2,1,0.00008,
,2,A2,710,,,,,,,36,2,1,0.00008,
,8,B2,710,,,,,,,36,2,1,0.00008,
,14,C2,710,,,,,,,36,2,1,0.00008,
,20,D2,710,,,,,,,36,2,1,0.00008,
,3,A3,710,,,,,,,36,2,1,0.00008,
,9,B3,710,,,,,,,36,2,1,0.00008,
,15,C3,710,,,,,,,36,2,1,0.00008,
,21,D3,710,,,,,,,36,2,1,0.00008,
,4,A4,710,,,,,,,36,2,1,0.00008,
,10,B4,710,,,,,,,36,2,1,0.00008,
,16,C4,710,,,,,,,36,2,1,0.00008,
,22,D4,710,,,,,,,36,2,1,0.00008,
,5,A5,710,,,,,,,36,2,1,0.00008,
,11,B5,710,,,,,,,36,2,1,0.00008,
,17,C5,710,,,,,,,36,2,1,0.00008,
,23,D5,710,,,,,,,36,2,1,0.00008,
,6,A6,710,,,,,,,36,2,1,0.00008,
,12,B6,710,,,,,,,36,2,1,0.00008,
,18,C6,710,,,,,,,36,2,1,0.00008,
,24,D6,710,,,,,,,36,2,1,0.00008,
